"MANDT",DIMID,"LENG","MASS","TIMEX","ECURR","TEMP","MOLQU","LIGHT","MSSIE","TEMP_DEP","PRESS_DEP"
"510","LIGHT",0,0,0,0,0,0,1,"CD",,
"666","AAAADL",0,0,0,0,0,0,0,,"X","X"
"888","VOLUME",3,0,0,0,0,0,0,"M3",,
"303","MOLMAS",0,1,0,0,0,0,0,,,
"503","VOLTAG",2,1,0,0,0,0,0,"V",,
"561","PRESS",0,1,0,0,0,0,0,"PA",,
"213","SPAEQU",0,0,0,0,0,1,0,"MOK",,
"666","ACCEL",1,0,0,0,0,0,0,"MS2",,
"888","VPROPO",0,0,0,0,0,0,12,,,
"510","MAGNFD",0,1,0,0,0,0,0,,,
"503","VOLUME",3,0,0,0,0,0,0,"M3",,
"561","PROPOR",0,0,0,0,0,0,10,,,
"303","MOLQU",0,0,0,0,0,1,0,"MOL",,
"666","CAPACI",0,0,4,2,0,0,0,,,
"900","AAAADL",0,0,0,0,0,0,0,,,
"561","RESIST",2,1,0,0,0,0,0,"OHM",,
"510","MAPER",0,0,2,0,0,0,0,"kgj",,
"666","CONDUC",0,0,3,2,0,0,0,"D10",,
"213","SPARAD",0,0,0,0,0,0,0,"BQK",,
"503","VPROPO",0,0,0,0,0,0,12,,,
"900","ACBAC",0,0,0,0,0,1,0,"C36",,
"303","MPROPO",0,0,0,0,0,0,11,,,
"561","ROUNDS",1,0,1,0,0,0,0,,,
"666","DENSI",0,1,0,0,0,0,0,"KGV",,
"900","ACCEL",1,0,0,0,0,0,0,"MS2",,
"510","MASFLO",0,1,0,0,0,0,0,"KGS",,
"504","AAAADL",0,0,0,0,0,0,0,,"X","X"
"561","SDL",0,0,0,0,0,0,22,,,"X"
"303","POINTS",0,0,0,0,0,0,9,"P",,
"900","CAPACI",0,0,4,2,0,0,0,"F",,
"666","ECURR",0,0,0,1,0,0,0,"A",,
"213","SPEED",1,0,0,0,0,0,0,"M/S",,
"504","ACCEL",1,0,0,0,0,0,0,"MS2",,
"561","SPAEQU",0,0,0,0,0,1,0,,,
"900","CONDUC",0,0,3,2,0,0,0,"D10",,
"510","MASS",0,1,0,0,0,0,0,"KG",,
"666","ENERGY",2,1,0,0,0,0,0,"J",,
"303","POWER",2,1,0,0,0,0,0,"W",,
"561","SPARAD",0,0,0,0,0,0,0,,,
"504","CAPACI",0,0,4,2,0,0,0,,,
"900","DENSI",0,1,0,0,0,0,0,"KGV",,
"666","FORCE",1,1,0,0,0,0,0,"N",,
"510","MASSBD",0,1,0,0,0,0,0,,,
"504","DENSI",0,1,0,0,0,0,0,"KGV",,
"900","ECURR",0,0,0,1,0,0,0,"A",,
"213","SPENER",2,0,0,0,0,0,0,"JKG",,
"561","SPEED",1,0,0,0,0,0,0,"M/S",,
"666","FREQU",0,0,0,0,0,0,0,"HZ",,
"510","MOENER",2,1,0,0,0,1,0,,,
"303","PRESS",0,1,0,0,0,0,0,"PA",,
"504","ECURR",0,0,0,1,0,0,0,"A",,
"900","ENERGY",2,1,0,0,0,0,0,"J",,
"561","SPENER",2,0,0,0,0,0,0,,,
"666","HYDROL",3,0,0,0,0,0,0,,,
"504","ENERGY",2,1,0,0,0,0,0,"J",,
"510","MOLMAS",0,1,0,0,0,0,0,,,
"213","SPHCAP",2,0,0,0,0,0,0,"JKK","X",
"900","EVARA",0,1,0,0,0,0,0,,,
"303","PROPOR",0,0,0,0,0,0,10,,,
"504","FORCE",1,1,0,0,0,0,0,"N",,
"666","LENGTH",1,0,0,0,0,0,0,"M",,
"561","STEXKZ",0,1,0,0,0,0,0,,,
"510","MOLQU",0,0,0,0,0,1,0,"MOL",,
"900","FORCE",1,1,0,0,0,0,0,"N",,
"561","SURFAC",2,0,0,0,0,0,0,"M2",,
"213","SPREST",3,1,0,0,0,0,0,"OM",,
"504","FREQU",0,0,0,0,0,0,0,"HZ",,
"666","LIGHT",0,0,0,0,0,0,1,"CD",,
"510","MPROPO",0,0,0,0,0,0,11,,,
"900","FREQU",0,0,0,0,0,0,0,"HZ",,
"504","HYDROL",3,0,0,0,0,0,0,,,
"303","RESIST",2,1,0,0,0,0,0,"OHM",,
"666","MAGNFD",0,1,0,0,0,0,0,,,
"561","SURFTE",0,1,0,0,0,0,0,,,
"213","STEXKZ",0,1,0,0,0,0,0,"MPZ",,
"510","POINTS",0,0,0,0,0,0,9,"P",,
"900","HYDROL",3,0,0,0,0,0,0,"LMS",,
"504","LENGTH",1,0,0,0,0,0,0,"M",,
"561","SURINV",0,0,0,0,0,0,0,"M2I",,
"666","MAPER",0,0,2,0,0,0,0,"kgj",,
"303","ROUNDS",1,0,1,0,0,0,0,,,
"213","SURFAC",2,0,0,0,0,0,0,"M2",,
"510","POWER",2,1,0,0,0,0,0,"W",,
"900","LENGTH",1,0,0,0,0,0,0,"M",,
"666","MASFLO",0,1,0,0,0,0,0,"KGS",,
"561","TEMP",0,0,0,0,1,0,0,"K",,
"504","LIGHT",0,0,0,0,0,0,1,"CD",,
"303","SDL",0,0,0,0,0,0,22,,,"X"
"900","LIGHT",0,0,0,0,0,0,1,"CD",,
"666","MASS",0,1,0,0,0,0,0,"KG",,
"504","MAGNFD",0,1,0,0,0,0,0,,,
"561","TEMPRT",0,0,0,0,1,0,0,,,
"213","SURFTE",0,1,0,0,0,0,0,"NM",,
"510","PRESS",0,1,0,0,0,0,0,"PA",,
"666","MASSBD",0,1,0,0,0,0,0,,,
"900","MAGNFD",0,1,0,0,0,0,0,"TES",,
"303","SPAEQU",0,0,0,0,0,1,0,,,
"504","MASFLO",0,1,0,0,0,0,0,"KGS",,
"561","TIME",0,0,1,0,0,0,0,"S",,
"666","MOENER",2,1,0,0,0,1,0,,,
"900","MAPER",0,0,2,0,0,0,0,"kgj",,
"213","SURINV",0,0,0,0,0,0,0,"M2I",,
"504","MASS",0,1,0,0,0,0,0,"KG",,
"303","SPARAD",0,0,0,0,0,0,0,,,
"666","MOLMAS",0,1,0,0,0,0,0,,,
"510","PROPOR",0,0,0,0,0,0,10,,,
"561","TKONZ",0,0,0,0,0,0,0,,,
"900","MASFLO",0,1,0,0,0,0,0,"KGS",,
"504","MASSBD",0,1,0,0,0,0,0,,,
"666","MOLQU",0,0,0,0,0,1,0,"MOL",,
"900","MASS",0,1,0,0,0,0,0,"KG",,
"561","VISDYN",0,1,0,0,0,0,0,"PAS",,
"510","RESIST",2,1,0,0,0,0,0,"OHM",,
"504","MOENER",2,1,0,0,0,1,0,,,
"000","AAAADL",0,0,0,0,0,0,0,,,
"213","TEMP",0,0,0,0,1,0,0,"K",,
"303","SPEED",1,0,0,0,0,0,0,"M/S",,
"900","MASSBD",0,1,0,0,0,0,0,"KGF",,
"561","VISKIN",2,0,0,0,0,0,0,"M2S",,
"666","MPROPO",0,0,0,0,0,0,11,,,
"504","MOLMAS",0,1,0,0,0,0,0,,,
"510","ROUNDS",1,0,1,0,0,0,0,,,
"900","MOENER",2,1,0,0,0,1,0,"JMO",,
"666","POINTS",0,0,0,0,0,0,9,"P",,
"504","MOLQU",0,0,0,0,0,1,0,"MOL",,
"213","TEMPRT",0,0,0,0,1,0,0,"KMS",,
"000","ACBAC",0,0,0,0,0,1,0,"C36",,
"510","SPAEQU",0,0,0,0,0,1,0,,,
"561","VOLFLO",3,0,0,0,0,0,0,"M3S",,
"303","SPENER",2,0,0,0,0,0,0,,,
"900","MOLMAS",0,1,0,0,0,0,0,"KGM",,
"666","POWER",2,1,0,0,0,0,0,"W",,
"504","MPROPO",0,0,0,0,0,0,11,,,
"213","THCOND",1,1,0,0,0,0,0,"WMK","X",
"504","POINTS",0,0,0,0,0,0,9,"P",,
"510","SPARAD",0,0,0,0,0,0,0,,,
"666","PRESS",0,1,0,0,0,0,0,"PA",,
"000","ACCEL",1,0,0,0,0,0,0,"MS2",,
"900","MOLQU",0,0,0,0,0,1,0,"MOL",,
"504","POWER",2,1,0,0,0,0,0,"W",,
"561","VOLTAG",2,1,0,0,0,0,0,"V",,
"213","TIME",0,0,1,0,0,0,0,"S",,
"303","STEXKZ",0,1,0,0,0,0,0,,,
"900","MPROPO",0,0,0,0,0,0,11,"KGK",,
"000","CAPACI",0,0,4,2,0,0,0,"F",,
"666","PROPOR",0,0,0,0,0,0,10,,,
"510","SPEED",1,0,0,0,0,0,0,"M/S",,
"504","PRESS",0,1,0,0,0,0,0,"PA",,
"213","TKONZ",0,0,0,0,0,0,0,"TM3",,
"900","POINTS",0,0,0,0,0,0,9,"P",,
"303","SURFAC",2,0,0,0,0,0,0,"M2",,
"561","VOLUME",3,0,0,0,0,0,0,"M3",,
"000","CONDUC",0,0,3,2,0,0,0,"D10",,
"666","RESIST",2,1,0,0,0,0,0,"OHM",,
"510","SPENER",2,0,0,0,0,0,0,,,
"504","PROPOR",0,0,0,0,0,0,10,,,
"900","POWER",2,1,0,0,0,0,0,"W",,
"213","VISDYN",0,1,0,0,0,0,0,"PAS",,
"666","ROUNDS",1,0,1,0,0,0,0,,,
"504","RESIST",2,1,0,0,0,0,0,"OHM",,
"561","VPROPO",0,0,0,0,0,0,12,,,
"303","SURFTE",0,1,0,0,0,0,0,,,
"510","STEXKZ",0,1,0,0,0,0,0,,,
"000","DENSI",0,1,0,0,0,0,0,"KGV",,
"900","PRESS",0,1,0,0,0,0,0,"PA",,
"666","SDL",0,0,0,0,0,0,22,,,"X"
"213","VISKIN",2,0,0,0,0,0,0,"M2S",,
"504","ROUNDS",1,0,1,0,0,0,0,,,
"000","ECURR",0,0,0,1,0,0,0,"A",,
"510","SURFAC",2,0,0,0,0,0,0,"M2",,
"600","AAAADL",0,0,0,0,0,0,0,,"X","X"
"900","PROPOR",0,0,0,0,0,0,10,"1",,
"666","SPAEQU",0,0,0,0,0,1,0,,,
"504","SDL",0,0,0,0,0,0,22,,,"X"
"303","SURINV",0,0,0,0,0,0,0,"M2I",,
"510","SURFTE",0,1,0,0,0,0,0,,,
"000","ENERGY",2,1,0,0,0,0,0,"J",,
"213","VOLFLO",3,0,0,0,0,0,0,"M3S",,
"504","SPAEQU",0,0,0,0,0,1,0,,,
"900","RESIST",2,1,0,0,0,0,0,"OHM",,
"600","ACCEL",1,0,0,0,0,0,0,"MS2",,
"666","SPARAD",0,0,0,0,0,0,0,,,
"303","TEMP",0,0,0,0,1,0,0,"K",,
"000","EVARA",0,1,0,0,0,0,0,,,
"510","SURINV",0,0,0,0,0,0,0,"M2I",,
"504","SPARAD",0,0,0,0,0,0,0,,,
"900","SPAEQU",0,0,0,0,0,1,0,"MOK",,
"666","SPEED",1,0,0,0,0,0,0,"M/S",,
"510","TEMP",0,0,0,0,1,0,0,"K",,
"000","FORCE",1,1,0,0,0,0,0,"N",,
"213","VOLTAG",2,1,0,0,0,0,0,"V",,
"900","SPARAD",0,0,0,0,0,0,0,"BQK",,
"510","TEMPRT",0,0,0,0,1,0,0,,,
"666","SPENER",2,0,0,0,0,0,0,,,
"000","FREQU",0,0,0,0,0,0,0,"HZ",,
"504","SPEED",1,0,0,0,0,0,0,"M/S",,
"600","CAPACI",0,0,4,2,0,0,0,,,
"900","SPEED",1,0,0,0,0,0,0,"M/S",,
"666","STEXKZ",0,1,0,0,0,0,0,,,
"504","SPENER",2,0,0,0,0,0,0,,,
"510","TIME",0,0,1,0,0,0,0,"S",,
"213","VOLUME",3,0,0,0,0,0,0,"M3",,
"000","HYDROL",3,0,0,0,0,0,0,"LMS",,
"900","SPENER",2,0,0,0,0,0,0,"JKG",,
"666","SURFAC",2,0,0,0,0,0,0,"M2",,
"504","STEXKZ",0,1,0,0,0,0,0,,,
"600","CONDUC",0,0,3,2,0,0,0,"D10",,
"510","TKONZ",0,0,0,0,0,0,0,,,
"000","LENGTH",1,0,0,0,0,0,0,"M",,
"900","SPHCAP",2,0,0,0,0,0,0,"JKK","X",
"666","SURFTE",0,1,0,0,0,0,0,,,
"504","SURFAC",2,0,0,0,0,0,0,"M2",,
"213","VPROPO",0,0,0,0,0,0,12,"KMK",,
"510","VISDYN",0,1,0,0,0,0,0,"PAS",,
"000","LIGHT",0,0,0,0,0,0,1,"CD",,
"900","SPREST",3,1,0,0,0,0,0,"OM",,
"666","SURINV",0,0,0,0,0,0,0,"M2I",,
"504","SURFTE",0,1,0,0,0,0,0,,,
"600","DENSI",0,1,0,0,0,0,0,"KGV",,
"900","STEXKZ",0,1,0,0,0,0,0,"MPZ",,
"666","TEMP",0,0,0,0,1,0,0,"K",,
"214","AAAADL",0,0,0,0,0,0,0,,,
"504","SURINV",0,0,0,0,0,0,0,"M2I",,
"510","VISKIN",2,0,0,0,0,0,0,"M2S",,
"900","SURFAC",2,0,0,0,0,0,0,"M2",,
"000","MAGNFD",0,1,0,0,0,0,0,"TES",,
"666","TEMPRT",0,0,0,0,1,0,0,,,
"600","ECURR",0,0,0,1,0,0,0,"A",,
"900","SURFTE",0,1,0,0,0,0,0,"NM",,
"504","TEMP",0,0,0,0,1,0,0,"K",,
"510","VOLFLO",3,0,0,0,0,0,0,"M3S",,
"000","MAPER",0,0,2,0,0,0,0,"kgj",,
"666","TIME",0,0,1,0,0,0,0,"S",,
"900","SURINV",0,0,0,0,0,0,0,"M2I",,
"214","ACBAC",0,0,0,0,0,1,0,"C36",,
"666","TKONZ",0,0,0,0,0,0,0,,,
"900","TEMP",0,0,0,0,1,0,0,"K",,
"504","TEMPRT",0,0,0,0,1,0,0,,,
"510","VOLTAG",2,1,0,0,0,0,0,"V",,
"000","MASFLO",0,1,0,0,0,0,0,"KGS",,
"214","ACCEL",1,0,0,0,0,0,0,"MS2",,
"600","ENERGY",2,1,0,0,0,0,0,"J",,
"666","VISDYN",0,1,0,0,0,0,0,"PAS",,
"504","TIME",0,0,1,0,0,0,0,"S",,
"900","TEMPRT",0,0,0,0,1,0,0,"KMS",,
"000","MASS",0,1,0,0,0,0,0,"KG",,
"666","VISKIN",2,0,0,0,0,0,0,"M2S",,
"510","VOLUME",3,0,0,0,0,0,0,"M3",,
"504","TKONZ",0,0,0,0,0,0,0,,,
"214","CAPACI",0,0,4,2,0,0,0,"F",,
"900","THCOND",1,1,0,0,0,0,0,"WMK","X",
"666","VOLFLO",3,0,0,0,0,0,0,"M3S",,
"600","FORCE",1,1,0,0,0,0,0,"N",,
"000","MASSBD",0,1,0,0,0,0,0,"KGF",,
"510","VPROPO",0,0,0,0,0,0,12,,,
"504","VISDYN",0,1,0,0,0,0,0,"PAS",,
"900","TIME",0,0,1,0,0,0,0,"S",,
"666","VOLTAG",2,1,0,0,0,0,0,"V",,
"511","AAAADL",0,0,0,0,0,0,0,,"X","X"
"000","MOENER",2,1,0,0,0,1,0,"JMO",,
"214","CONDUC",0,0,3,2,0,0,0,"D10",,
"666","VOLUME",3,0,0,0,0,0,0,"M3",,
"504","VISKIN",2,0,0,0,0,0,0,"M2S",,
"900","TKONZ",0,0,0,0,0,0,0,"TM3",,
"600","FREQU",0,0,0,0,0,0,0,"HZ",,
"511","ACCEL",1,0,0,0,0,0,0,"MS2",,
"000","MOLMAS",0,1,0,0,0,0,0,"KGM",,
"303","TEMPRT",0,0,0,0,1,0,0,,,
"666","VPROPO",0,0,0,0,0,0,12,,,
"511","CAPACI",0,0,4,2,0,0,0,,,
"214","DENSI",0,1,0,0,0,0,0,"KGV",,
"504","VOLFLO",3,0,0,0,0,0,0,"M3S",,
"706","AAAADL",0,0,0,0,0,0,0,,"X","X"
"000","MOLQU",0,0,0,0,0,1,0,"MOL",,
"600","HYDROL",3,0,0,0,0,0,0,,,
"511","DENSI",0,1,0,0,0,0,0,"KGV",,
"706","ACCEL",1,0,0,0,0,0,0,"MS2",,
"504","VOLTAG",2,1,0,0,0,0,0,"V",,
"511","ECURR",0,0,0,1,0,0,0,"A",,
"000","MPROPO",0,0,0,0,0,0,11,"KGK",,
"214","ECURR",0,0,0,1,0,0,0,"A",,
"706","CAPACI",0,0,4,2,0,0,0,,,
"511","ENERGY",2,1,0,0,0,0,0,"J",,
"504","VOLUME",3,0,0,0,0,0,0,"M3",,
"000","PERMEA",0,1,0,0,0,0,10,"PMR",,
"600","LENGTH",1,0,0,0,0,0,0,"M",,
"214","ENERGY",2,1,0,0,0,0,0,"J",,
"706","CONDUC",0,0,3,2,0,0,0,"D10",,
"303","TIME",0,0,1,0,0,0,0,"S",,
"511","FORCE",1,1,0,0,0,0,0,"N",,
"504","VPROPO",0,0,0,0,0,0,12,,,
"000","POINTS",0,0,0,0,0,0,9,"P",,
"706","DENSI",0,1,0,0,0,0,0,"KGV",,
"511","FREQU",0,0,0,0,0,0,0,"HZ",,
"505","AAAADL",0,0,0,0,0,0,0,,"X","X"
"214","EVARA",0,1,0,0,0,0,0,,,
"600","LIGHT",0,0,0,0,0,0,1,"CD",,
"303","TKONZ",0,0,0,0,0,0,0,,,
"000","POWER",2,1,0,0,0,0,0,"W",,
"706","ECURR",0,0,0,1,0,0,0,"A",,
"511","HYDROL",3,0,0,0,0,0,0,,,
"505","ACCEL",1,0,0,0,0,0,0,"MS2",,
"000","PRESS",0,1,0,0,0,0,0,"PA",,
"214","FORCE",1,1,0,0,0,0,0,"N",,
"706","ENERGY",2,1,0,0,0,0,0,"J",,
"303","VISDYN",0,1,0,0,0,0,0,"PAS",,
"511","LENGTH",1,0,0,0,0,0,0,"M",,
"505","CAPACI",0,0,4,2,0,0,0,,,
"000","PROPOR",0,0,0,0,0,0,10,"1",,
"706","FORCE",1,1,0,0,0,0,0,"N",,
"214","FREQU",0,0,0,0,0,0,0,"HZ",,
"511","LIGHT",0,0,0,0,0,0,1,"CD",,
"505","CONDUC",0,0,3,2,0,0,0,"D10",,
"706","FREQU",0,0,0,0,0,0,0,"HZ",,
"000","RESIST",2,1,0,0,0,0,0,"OHM",,
"303","VISKIN",2,0,0,0,0,0,0,"M2S",,
"511","MAGNFD",0,1,0,0,0,0,0,,,
"505","DENSI",0,1,0,0,0,0,0,"KGV",,
"706","HYDROL",3,0,0,0,0,0,0,,,
"214","HYDROL",3,0,0,0,0,0,0,"LMS",,
"511","MAPER",0,0,2,0,0,0,0,"kgj",,
"000","SPAEQU",0,0,0,0,0,1,0,"MOK",,
"303","VOLFLO",3,0,0,0,0,0,0,"M3S",,
"706","LENGTH",1,0,0,0,0,0,0,"M",,
"505","ECURR",0,0,0,1,0,0,0,"A",,
"214","LENGTH",1,0,0,0,0,0,0,"M",,
"511","MASFLO",0,1,0,0,0,0,0,"KGS",,
"505","ENERGY",2,1,0,0,0,0,0,"J",,
"706","LIGHT",0,0,0,0,0,0,1,"CD",,
"000","SPARAD",0,0,0,0,0,0,0,"BQK",,
"511","MASS",0,1,0,0,0,0,0,"KG",,
"303","VOLTAG",2,1,0,0,0,0,0,"V",,
"214","LIGHT",0,0,0,0,0,0,1,"CD",,
"706","MAGNFD",0,1,0,0,0,0,0,,,
"505","FORCE",1,1,0,0,0,0,0,"N",,
"511","MASSBD",0,1,0,0,0,0,0,,,
"000","SPEED",1,0,0,0,0,0,0,"M/S",,
"505","FREQU",0,0,0,0,0,0,0,"HZ",,
"511","MOENER",2,1,0,0,0,1,0,,,
"706","MAPER",0,0,2,0,0,0,0,"kgj",,
"303","VOLUME",3,0,0,0,0,0,0,"M3",,
"214","MAGNFD",0,1,0,0,0,0,0,"TES",,
"000","SPENER",2,0,0,0,0,0,0,"JKG",,
"505","HYDROL",3,0,0,0,0,0,0,,,
"511","MOLMAS",0,1,0,0,0,0,0,,,
"706","MASFLO",0,1,0,0,0,0,0,"KGS",,
"505","LENGTH",1,0,0,0,0,0,0,"M",,
"000","SPHCAP",2,0,0,0,0,0,0,"JKK","X",
"214","MAPER",0,0,2,0,0,0,0,"kgj",,
"303","VPROPO",0,0,0,0,0,0,12,,,
"511","MOLQU",0,0,0,0,0,1,0,"MOL",,
"505","LIGHT",0,0,0,0,0,0,1,"CD",,
"706","MASS",0,1,0,0,0,0,0,"KG",,
"000","SPREST",3,1,0,0,0,0,0,"OM",,
"511","MPROPO",0,0,0,0,0,0,11,,,
"505","MAGNFD",0,1,0,0,0,0,0,,,
"214","MASFLO",0,1,0,0,0,0,0,"KGS",,
"706","MASSBD",0,1,0,0,0,0,0,,,
"310","AAAADL",0,0,0,0,0,0,0,,,
"511","POINTS",0,0,0,0,0,0,9,"P",,
"000","STEXKZ",0,1,0,0,0,0,0,"MPZ",,
"505","MAPER",0,0,2,0,0,0,0,"kgj",,
"706","MOENER",2,1,0,0,0,1,0,,,
"214","MASS",0,1,0,0,0,0,0,"KG",,
"511","POWER",2,1,0,0,0,0,0,"W",,
"000","SURFAC",2,0,0,0,0,0,0,"M2",,
"600","MAGNFD",0,1,0,0,0,0,0,,,
"505","MASFLO",0,1,0,0,0,0,0,"KGS",,
"706","MOLMAS",0,1,0,0,0,0,0,,,
"310","ACBAC",0,0,0,0,0,1,0,"C36",,
"214","MASSBD",0,1,0,0,0,0,0,"KGF",,
"505","MASS",0,1,0,0,0,0,0,"KG",,
"000","SURFTE",0,1,0,0,0,0,0,"NM",,
"706","MOLQU",0,0,0,0,0,1,0,"MOL",,
"511","PRESS",0,1,0,0,0,0,0,"PA",,
"505","MASSBD",0,1,0,0,0,0,0,,,
"600","MAPER",0,0,2,0,0,0,0,"kgj",,
"706","MPROPO",0,0,0,0,0,0,11,,,
"214","MOENER",2,1,0,0,0,1,0,"JMO",,
"310","ACCEL",1,0,0,0,0,0,0,"MS2",,
"000","SURINV",0,0,0,0,0,0,0,"M2I",,
"505","MOENER",2,1,0,0,0,1,0,,,
"511","PROPOR",0,0,0,0,0,0,10,,,
"706","POINTS",0,0,0,0,0,0,9,"P",,
"505","MOLMAS",0,1,0,0,0,0,0,,,
"214","MOLMAS",0,1,0,0,0,0,0,"KGM",,
"600","MASFLO",0,1,0,0,0,0,0,"KGS",,
"310","CAPACI",0,0,4,2,0,0,0,"F",,
"000","TEMP",0,0,0,0,1,0,0,"K",,
"706","POWER",2,1,0,0,0,0,0,"W",,
"511","RESIST",2,1,0,0,0,0,0,"OHM",,
"706","PRESS",0,1,0,0,0,0,0,"PA",,
"000","TEMPRT",0,0,0,0,1,0,0,"KMS",,
"214","MOLQU",0,0,0,0,0,1,0,"MOL",,
"600","MASS",0,1,0,0,0,0,0,"KG",,
"511","ROUNDS",1,0,1,0,0,0,0,,,
"310","CONDUC",0,0,3,2,0,0,0,"D10",,
"706","PROPOR",0,0,0,0,0,0,10,,,
"000","THCOND",1,1,0,0,0,0,0,"WMK","X",
"706","RESIST",2,1,0,0,0,0,0,"OHM",,
"000","TIME",0,0,1,0,0,0,0,"S",,
"511","SPAEQU",0,0,0,0,0,1,0,,,
"214","MPROPO",0,0,0,0,0,0,11,"KGK",,
"600","MASSBD",0,1,0,0,0,0,0,,,
"706","ROUNDS",1,0,1,0,0,0,0,,,
"310","DENSI",0,1,0,0,0,0,0,"KGV",,
"000","TKONZ",0,0,0,0,0,0,0,"TM3",,
"511","SPARAD",0,0,0,0,0,0,0,,,
"706","SDL",0,0,0,0,0,0,22,,,"X"
"000","VISDYN",0,1,0,0,0,0,0,"PAS",,
"600","MOENER",2,1,0,0,0,1,0,,,
"310","ECURR",0,0,0,1,0,0,0,"A",,
"706","SPAEQU",0,0,0,0,0,1,0,,,
"214","PERMEA",0,1,0,0,0,0,10,"PMR",,
"000","VISKIN",2,0,0,0,0,0,0,"M2S",,
"511","SPEED",1,0,0,0,0,0,0,"M/S",,
"706","SPARAD",0,0,0,0,0,0,0,,,
"600","MOLMAS",0,1,0,0,0,0,0,,,
"000","VOLFLO",3,0,0,0,0,0,0,"M3S",,
"310","ENERGY",2,1,0,0,0,0,0,"J",,
"706","SPEED",1,0,0,0,0,0,0,"M/S",,
"214","POINTS",0,0,0,0,0,0,9,"P",,
"511","SPENER",2,0,0,0,0,0,0,,,
"000","VOLTAG",2,1,0,0,0,0,0,"V",,
"706","SPENER",2,0,0,0,0,0,0,,,
"600","MOLQU",0,0,0,0,0,1,0,"MOL",,
"310","EVARA",0,1,0,0,0,0,0,,,
"706","STEXKZ",0,1,0,0,0,0,0,,,
"511","STEXKZ",0,1,0,0,0,0,0,,,
"000","VOLUME",3,0,0,0,0,0,0,"M3",,
