"MANDT","WAERS","ISOCD","ALTWR","GDATU","XPRIMARY"
"812","VND","VND","","00000000",""
"001","IEP","IEP","372","00000000",""
"800","RUR","RUR","RUR","00000000",""
"812","VUV","VUV","","00000000",""
"800","RWF","RWF","646","00000000",""
"001","ILS","ILS","376","00000000",""
"812","WST","WST","","00000000",""
"800","SAR","SAR","682","00000000",""
"001","INR","INR","356","00000000",""
"812","XAF","XAF","","00000000",""
"800","SBD","SBD","090","00000000",""
"001","IQD","IQD","368","00000000",""
"812","XCD","XCD","","00000000",""
"800","SCR","SCR","690","00000000",""
"001","IRR","IRR","364","00000000",""
"812","XDS","XDS","","00000000",""
"800","SDD","SDD","736","00000000",""
"001","ISK","ISK","352","00000000",""
"812","XEU","XEU","","00000000",""
"800","SDP","SDP","736","00000000",""
"001","ITL","ITL","380","00000000",""
"812","XOF","XOF","","00000000",""
"800","SEK","SEK","752","00000000",""
"812","XPF","XPF","","00000000",""
"001","JMD","JMD","388","00000000",""
"800","SGD","SGD","702","00000000",""
"812","YER","YER","","00000000",""
"001","JOD","JOD","400","00000000",""
"800","SHP","SHP","654","00000000",""
"812","ZAR","ZAR","","00000000",""
"001","JPY","JPY","392","00000000",""
"800","SIT","SIT","705","00000000",""
"812","ZMK","ZMK","","00000000",""
"001","KES","KES","404","00000000",""
"800","SKK","SKK","703","00000000",""
"812","ZRN","ZRN","","00000000",""
"001","KGS","KGS","417","00000000",""
"800","SLL","SLL","694","00000000",""
"812","ZWD","ZWD","","00000000",""
"001","KHR","KHR","116","00000000",""
"000","AMD","AMD","051","00000000",""
"800","SOS","SOS","706","00000000",""
"001","KMF","KMF","174","00000000",""
"000","ANG","ANG","532","00000000",""
"800","SRG","SRG","740","00000000",""
"000","AOA","AOA","973","00000000",""
"800","STD","STD","678","00000000",""
"001","KPW","KPW","408","00000000",""
"000","AON","AON","024","00000000",""
"800","SUR","SUR","","00000000",""
"001","KRW","KRW","410","00000000",""
"000","AOR","AOR","982","00000000",""
"800","SVC","SVC","222","00000000",""
"001","KWD","KWD","414","00000000",""
"000","ARS","ARS","032","00000000",""
"800","SYP","SYP","760","00000000",""
"000","ATS","ATS","040","00000000",""
"800","SZL","SZL","748","00000000",""
"001","KYD","KYD","136","00000000",""
"000","AUD","AUD","036","00000000",""
"800","THB","THB","764","00000000",""
"001","KZT","KZT","398","00000000",""
"000","AWG","AWG","533","00000000",""
"800","TJLP","BND","","00000000",""
"001","LAK","LAK","418","00000000",""
"000","AZM","AZM","031","00000000",""
"800","TJR","TJR","762","00000000",""
"001","LBP","LBP","422","00000000",""
"000","BAM","BAM","977","00000000",""
"800","TJS","TJS","972","00000000",""
"000","BBD","BBD","052","00000000",""
"001","LKR","LKR","144","00000000",""
"800","TMM","TMM","795","00000000",""
"800","ANG","ANG","532","00000000",""
"001","LRD","LRD","430","00000000",""
"800","TND","TND","788","00000000",""
"800","AOA","AOA","973","00000000",""
"001","LSL","LSL","426","00000000",""
"800","TOP","TOP","776","00000000",""
"800","TPE","TPE","626","00000000",""
"800","AON","AON","024","00000000",""
"001","LTL","LTL","440","00000000",""
"800","TRL","TRL","792","00000000",""
"001","LUF","LUF","442","00000000",""
"800","AOR","AOR","982","00000000",""
"800","TTD","TTD","780","00000000",""
"001","LVL","LVL","428","00000000",""
"800","ARS","ARS","032","00000000",""
"800","TWD","TWD","901","00000000",""
"001","LYD","LYD","434","00000000",""
"800","ATS","ATS","040","00000000",""
"800","TZS","TZS","834","00000000",""
"001","MAD","MAD","504","00000000",""
"800","AUD","AUD","036","00000000","X"
"800","UAH","UAH","980","00000000",""
"001","MDL","MDL","498","00000000",""
"001","MGA","MGA","969","00000000",""
"800","AWG","AWG","533","00000000",""
"800","UAK","UAK","","00000000",""
"001","MGF","MGF","450","00000000",""
"800","AZM","AZM","031","00000000",""
"800","UGS","UGS","","00000000",""
"001","MKD","MKD","807","00000000",""
"800","BAM","BAM","977","00000000",""
"800","UGX","UGX","800","00000000",""
"800","BBD","BBD","052","00000000",""
"800","UNI","UNI","","99991231",""
"001","MMK","MMK","104","00000000",""
"800","BDT","BDT","050","00000000",""
"800","USD","USD","840","00000000","X"
"001","MNT","MNT","496","00000000",""
"800","UYP","UYP","","00000000",""
"800","BEF","BEF","056","00000000",""
"001","MOP","MOP","446","00000000",""
"800","UYU","UYU","858","00000000",""
"001","MRO","MRO","478","00000000",""
"800","BGN","BGN","975","00000000",""
"800","UZS","UZS","860","00000000",""
"800","BHD","BHD","048","00000000",""
"001","MTL","MTL","470","00000000",""
"800","VEB","VEB","862","00000000",""
"001","MUR","MUR","480","00000000",""
"800","BIF","BIF","108","00000000",""
"800","VND","VND","704","00000000",""
"001","MVR","MVR","462","00000000",""
"800","BMD","BMD","060","00000000",""
"800","VUV","VUV","548","00000000",""
"800","BND","BND","096","00000000",""
"001","MWK","MWK","454","00000000",""
"800","WST","WST","882","00000000",""
"800","BOB","BOB","068","00000000",""
"001","MXN","MXN","484","00000000",""
"800","XAF","XAF","950","00000000",""
"800","BRL","BRL","986","00000000",""
"001","MYR","MYR","458","00000000",""
"800","XCD","XCD","951","00000000",""
"800","BSD","BSD","044","00000000",""
"800","XCU","XCU","","00000000",""
"001","MZM","MZM","508","00000000",""
"800","BTN","BTN","064","00000000",""
"800","XDS","","","00000000",""
"001","NAD","NAD","516","00000000",""
"800","BWP","BWP","072","00000000",""
"800","XEU","XEU","954","00000000",""
"001","NGN","NGN","566","00000000",""
"800","BYB","BYB","112","00000000",""
"800","XOF","XOF","952","00000000",""
"001","NIO","NIO","558","00000000",""
"800","BYR","BYR","974","00000000",""
"800","XPF","XPF","953","00000000","X"
"001","NLG","NLG","528","00000000",""
"800","BZD","BZD","084","00000000",""
"800","YER","YER","886","00000000",""
"001","NOK","NOK","578","00000000",""
"800","CAD","CAD","124","00000000",""
"800","YUM","YUM","891","00000000",""
"001","NPR","NPR","524","00000000",""
"800","CDF","CDF","976","00000000",""
"800","ZAR","ZAR","710","00000000",""
"001","NZD","NZD","554","00000000",""
"800","CFP","XPF","953","00000000",""
"800","ZMK","ZMK","894","00000000",""
"001","NZD5","NZD","554","00000000",""
"800","CHF","CHF","756","00000000",""
"800","ZRN","ZRN","180","00000000",""
"001","OMR","OMR","512","00000000",""
"800","CLP","CLP","152","00000000",""
"800","ZRZ","ZRZ","","00000000",""
"800","CNY","CNY","156","00000000","X"
"800","ZWD","ZWD","716","00000000",""
"001","PAB","PAB","590","00000000",""
"800","COP","COP","170","00000000",""
"001","PEN","PEN","604","00000000",""
"810","ADH","ADH","","00000000",""
"800","CRC","CRC","188","00000000",""
"810","ADK","ADK","","00000000",""
"001","PGK","PGK","598","00000000",""
"800","CUP","CUP","192","00000000",""
"810","ADP","ADP","","00000000",""
"001","PHP","PHP","608","00000000",""
"800","CVE","CVE","132","00000000",""
"810","AED","AED","","00000000",""
"001","PKR","PKR","586","00000000",""
"800","CYP","CYP","196","00000000",""
"810","AFA","AFA","","00000000",""
"800","CZK","CZK","203","00000000",""
"001","PLN","PLN","985","00000000",""
"810","ALL","ALL","","00000000",""
"001","PTE","PTE","620","00000000",""
"810","AMD","AMD","","00000000",""
"800","DEM","DEM","280","00000000","X"
"001","PYG","PYG","600","00000000",""
"810","ANG","ANG","","00000000",""
"800","DEM3","DEM","280","00000000",""
"001","QAR","QAR","634","00000000",""
"800","DJF","DJF","262","00000000",""
"810","AOK","AOK","","00000000",""
"001","RMB","CNY","156","00000000",""
"800","DKK","DKK","208","00000000",""
"810","ARA","ARA","","00000000",""
"001","ROL","ROL","642","00000000",""
"800","DOP","DOP","214","00000000",""
"810","ARS","ARS","","00000000",""
"001","RON","RON","","00000000",""
"800","DZD","DZD","012","00000000",""
"810","ATS","ATS","","00000000",""
"001","RUB","RUB","643","00000000",""
"800","ECS","ECS","218","00000000",""
"810","AUD","AUD","","00000000",""
"001","RWF","RWF","646","00000000",""
"800","EEK","EEK","233","00000000",""
"810","AWG","AWG","","00000000",""
"001","SAR","SAR","682","00000000",""
"800","EGP","EGP","818","00000000",""
"810","AZM","AZM","","00000000",""
"001","SBD","SBD","090","00000000",""
"800","ERN","ERN","232","00000000",""
"810","BAD","BAD","","00000000",""
"800","ESP","ESP","724","00000000",""
"001","SCR","SCR","690","00000000",""
"810","BBD","BBD","","00000000",""
"800","ETB","ETB","230","00000000",""
"001","SDD","SDD","736","00000000",""
"810","BDT","BDT","","00000000",""
"800","EUR","EUR","978","00000000","X"
"001","SDP","SDP","736","00000000",""
"810","BEF","BEF","","00000000",""
"800","FIM","FIM","246","00000000",""
"001","SEK","SEK","752","00000000",""
"810","BGL","BGL","","00000000",""
"800","FJD","FJD","242","00000000",""
"001","SGD","SGD","702","00000000",""
"810","BHD","BHD","","00000000",""
"800","FKP","FKP","238","00000000",""
"001","SHP","SHP","654","00000000",""
"810","BIF","BIF","","00000000",""
"800","FRF","FRF","250","00000000",""
"810","BMD","BMD","","00000000",""
"001","SIT","SIT","705","00000000",""
"001","SKK","SKK","703","00000000",""
"800","GBP","GBP","826","00000000",""
"810","BND","BND","","00000000",""
"001","SLL","SLL","694","00000000",""
"800","GEL","GEL","981","00000000",""
"810","BOB","BOB","","00000000",""
"001","SOS","SOS","706","00000000",""
"800","GHC","GHC","288","00000000",""
"810","BOP","BOP","","00000000",""
"001","SRD","SRD","968","00000000",""
"800","GIP","GIP","292","00000000",""
"810","BRC","BRC","","00000000",""
"001","SRG","SRG","740","00000000",""
"800","GMD","GMD","270","00000000",""
"810","BRL","BRL","","00000000",""
"001","STD","STD","678","00000000",""
"800","GNF","GNF","324","00000000",""
"810","BSD","BSD","","00000000",""
"001","SVC","SVC","222","00000000",""
"800","GRD","GRD","300","00000000",""
"810","BWP","BWP","","00000000",""
"001","SYP","SYP","760","00000000",""
"800","GTQ","GTQ","320","00000000",""
"810","BYR","BYR","","00000000",""
"001","SZL","SZL","748","00000000",""
"800","GWP","GWP","624","00000000",""
"810","BZD","BZD","","00000000",""
"001","THB","THB","764","00000000",""
"800","GYD","GYD","328","00000000",""
"810","CAD","CAD","","00000000",""
"001","TJR","TJR","762","00000000",""
"800","HKD","HKD","344","00000000",""
"810","CHF","CHF","051","00000000",""
"001","TJS","TJS","972","00000000",""
"800","HNL","HNL","340","00000000",""
"001","TMM","TMM","795","00000000",""
"810","CLP","CLP","","00000000",""
"800","HRK","HRK","191","00000000",""
"810","CNY","CNY","","00000000",""
"001","TND","TND","788","00000000",""
"810","COP","COP","","00000000",""
"800","HTG","HTG","332","00000000",""
"001","TOP","TOP","776","00000000",""
"810","CRC","CRC","","00000000",""
"800","HUF","HUF","348","00000000",""
"001","TPE","TPE","626","00000000",""
"810","CUP","CUP","","00000000",""
"001","TRL","TRL","792","00000000",""
"810","CVE","CVE","","00000000",""
"800","IDR","IDR","360","00000000",""
"800","IEP","IEP","372","00000000",""
"810","CYP","CYP","","00000000",""
"001","TRY","TRY","949","00000000",""
"800","ILS","ILS","376","00000000",""
"001","TTD","TTD","780","00000000",""
"810","CZK","CZK","","00000000",""
"800","INR","INR","356","00000000",""
"810","DEM","DEM","061","00000000",""
"001","TWD","TWD","901","00000000",""
"800","IQD","IQD","368","00000000",""
"001","TZS","TZS","834","00000000",""
"810","DJF","DJF","","00000000",""
"800","IRR","IRR","364","00000000",""
"001","UAH","UAH","980","00000000",""
"810","DKK","DKK","","00000000",""
"800","ISK","ISK","352","00000000",""
"001","UGX","UGX","800","00000000",""
"810","DOP","DOP","","00000000",""
"800","ITL","ITL","380","00000000",""
"001","USD","USD","840","00000000","X"
"810","DZD","DZD","","00000000",""
"800","JMD","JMD","388","00000000",""
"001","USDN","USD","840","00000000",""
"810","ECS","ECS","","00000000",""
"800","JOD","JOD","400","00000000",""
"001","UYU","UYU","858","00000000",""
"810","ECU","ECU","","00000000",""
"800","JPY","JPY","392","00000000",""
"001","UZS","UZS","860","00000000",""
"810","EEK","EEK","","00000000",""
"800","KES","KES","404","00000000",""
"001","VEB","VEB","862","00000000",""
"001","VEF","VEF","937","00000000",""
"800","KGS","KGS","417","00000000",""
"810","EGP","EGP","","00000000",""
"001","VND","VND","704","00000000",""
"810","ERB","ERB","","00000000",""
"800","KHR","KHR","116","00000000",""
"001","VUV","VUV","548","00000000",""
"810","ESP","ESP","141","00000000",""
"800","KMF","KMF","174","00000000",""
"001","WST","WST","882","00000000",""
"810","ETB","ETB","","00000000",""
"800","KPW","KPW","408","00000000",""
"001","XAF","XAF","950","00000000",""
"810","FIM","FIM","","00000000",""
"001","XCD","XCD","951","00000000",""
"800","KRW","KRW","410","00000000",""
"810","FJD","FJD","","00000000",""
"001","XDS","","","00000000",""
"800","KWD","KWD","414","00000000",""
"810","FKP","FKP","","00000000",""
"001","XEU","XEU","954","00000000",""
"800","KYD","KYD","136","00000000",""
"810","FRF","FRF","021","00000000",""
"001","XOF","XOF","952","00000000",""
"800","KZT","KZT","398","00000000",""
"810","GBL","GBL","","00000000",""
"001","XPF","XPF","953","00000000","X"
"800","LAK","LAK","418","00000000",""
"001","YER","YER","886","00000000",""
"810","GBP","GBP","031","00000000",""
"800","LBP","LBP","422","00000000",""
"001","YUM","YUM","891","00000000",""
"810","GEK","GEK","","00000000",""
"800","LKR","LKR","144","00000000",""
"810","GHC","GHC","","00000000",""
"800","LRD","LRD","430","00000000",""
"810","GIP","GIP","","00000000",""
"800","LSL","LSL","426","00000000",""
"810","GMD","GMD","","00000000",""
"800","LTL","LTL","440","00000000",""
"810","GNF","GNF","","00000000",""
"810","GRD","GRD","","00000000",""
"800","LUF","LUF","442","00000000",""
"810","GTQ","GTQ","","00000000",""
"800","LVL","LVL","428","00000000",""
"810","GWP","GWP","","00000000",""
"810","GYD","GYD","","00000000",""
"800","LYD","LYD","434","00000000",""
"810","HKD","HKD","","00000000",""
"800","MAD","MAD","504","00000000",""
"810","HNL","HNL","","00000000",""
"800","MDL","MDL","498","00000000",""
"810","HRD","HRD","","00000000",""
"800","MGF","MGF","450","00000000",""
"810","HTG","HTG","","00000000",""
"800","MKD","MKD","807","00000000",""
"810","HUF","HUF","","00000000",""
"800","MMK","MMK","104","00000000",""
"810","IDR","IDR","","00000000",""
"810","IEP","IEP","","00000000",""
"812","ITL","ITL","071","20101231",""
"810","ILS","ILS","","00000000",""
"812","JPY","JPY","831","00000000",""
"810","INR","INR","","00000000",""
"812","NLG","NLG","041","00000000",""
"810","IQD","IQD","","00000000",""
"812","RUB","RUB","RUB","00000000",""
"810","IRR","IRR","","00000000",""
"812","SEK","SEK","081","00000000",""
"810","ISK","ISK","","00000000",""
"812","USD","USD","011","00000000",""
"810","ITL","ITL","071","00000000",""
"812","USDN","","011","00000000",""
"810","JMD","JMD","","00000000",""
"810","JOD","JOD","","00000000",""
"810","JPY","JPY","831","00000000",""
"810","KES","KES","","00000000",""
"810","KHR","KHR","","00000000",""
"810","KIS","KIS","","00000000",""
"810","KMF","KMF","","00000000",""
"810","KPW","KPW","","00000000",""
"810","KRW","KRW","","00000000",""
"810","KWD","KWD","","00000000",""
"810","KYD","KYD","","00000000",""
"810","KZT","KZT","","00000000",""
"810","LAK","LAK","","00000000",""
"810","LBP","LBP","","00000000",""
"810","LKR","LKR","","00000000",""
"810","LRD","LRD","","00000000",""
"810","LSL","LSL","","00000000",""
"810","LTL","LTL","","00000000",""
"810","LUF","LUF","","00000000",""
"810","LVL","LVL","","00000000",""
"810","LYD","LYD","","00000000",""
"810","MAD","MAD","","00000000",""
"810","MDL","MDL","","00000000",""
"810","MGF","MGF","","00000000",""
"810","MNT","MNT","","00000000",""
"810","MOP","MOP","","00000000",""
"810","MRO","MRO","","00000000",""
"810","MTL","MTL","","00000000",""
"810","MUR","MUR","","00000000",""
"810","MVR","MVR","","00000000",""
"810","MWK","MWK","","00000000",""
"810","MXN","MXN","042","00000000",""
"810","MXP","MXP","042","00000000",""
"810","MYR","MYR","","00000000",""
"810","MZM","MZM","","00000000",""
"810","NGN","NGN","","00000000",""
"810","NIC","NIC","","00000000",""
"810","NLG","NLG","041","00000000",""
"810","NOK","NOK","","00000000",""
"810","NPR","NPR","","00000000",""
"810","NZD","NZD","","00000000",""
"810","OMR","OMR","","00000000",""
"810","PAB","PAB","","00000000",""
"810","PEI","PEI","","00000000",""
"810","PGK","PGK","","00000000",""
"810","PHP","PHP","","00000000",""
"810","PKR","PKR","","00000000",""
"810","PLZ","PLZ","","00000000",""
"810","PTE","PTE","","00000000",""
"810","PYG","PYG","","00000000",""
"810","QAR","QAR","","00000000",""
"810","RMB","RMB","","00000000",""
"810","ROL","ROL","","00000000",""
"810","RUB","RUR","RUR","00000000",""
"810","RUR","RUR","RUR","00000000",""
"810","RWF","RWF","","00000000",""
"810","SAR","SAR","","00000000",""
"810","SBD","SBD","","00000000",""
"810","SCR","SCR","","00000000",""
"810","SDP","SDP","","00000000",""
"810","SEK","SEK","081","00000000",""
"810","SGD","SGD","","00000000",""
"810","SHP","SHP","","00000000",""
"810","SIT","SIT","","00000000",""
"810","SKK","SKK","","00000000",""
"810","SLL","SLL","","00000000",""
"810","SOS","SOS","","00000000",""
"810","SRG","SRG","","00000000",""
"810","STD","STD","","00000000",""
"810","SUR","SUR","","00000000",""
"810","SVC","SVC","","00000000",""
"810","SYP","SYP","","00000000",""
"810","SZL","SZL","","00000000",""
"810","THB","THB","","00000000",""
"810","TJR","TJR","","00000000",""
"810","TMM","TMM","","00000000",""
"810","TND","TND","","00000000",""
"810","TOP","TOP","","00000000",""
"810","TPE","TPE","","00000000",""
"810","TRL","TRL","","00000000",""
"810","TTD","TTD","","00000000",""
"810","TWD","TWD","","00000000",""
"810","TZS","TZS","","00000000",""
"810","UAH","UAH","","00000000",""
"810","UAK","UAK","","00000000",""
"810","UGS","UGS","","00000000",""
"810","USD","USD","011","00000000",""
"810","USDN","USD","011","00000000",""
"810","UYP","UYP","","00000000",""
"810","VEB","VEB","","00000000",""
"810","VND","VND","","00000000",""
"810","VUV","VUV","","00000000",""
"810","WST","WST","","00000000",""
"810","XAF","XAF","","00000000",""
"810","XCD","XCD","","00000000",""
"810","XEU","XEU","","00000000",""
"810","XOF","XOF","","00000000",""
"810","YER","YER","","00000000",""
"810","ZAR","ZAR","","00000000",""
"810","ZMK","ZMK","","00000000",""
"810","ZRZ","ZRZ","","00000000",""
"810","ZWD","ZWD","","00000000",""
"811","ADH","ADH","","00000000",""
"811","ADK","ADK","","00000000",""
"811","AFA","AFA","","00000000",""
"811","ALL","ALL","","00000000",""
"811","AMD","AMD","","00000000",""
"811","ANG","ANG","","00000000",""
"811","ARS","ARS","","00000000",""
"811","ATS","ATS","","00000000",""
"811","AUD","AUD","","00000000",""
"811","AZM","AZM","","00000000",""
"811","BAD","BAD","","00000000",""
"811","BBD","BBD","","00000000",""
"811","BDT","BDT","","00000000",""
"811","BEF","BEF","","00000000",""
"811","BGL","BGL","","00000000",""
"811","BHD","BHD","","00000000",""
"811","BIF","BIF","","00000000",""
"811","BMD","BMD","","00000000",""
"811","BND","BND","","00000000",""
"811","BOP","BOP","","00000000",""
"811","BRC","BRC","","00000000",""
"811","BSD","BSD","","00000000",""
"811","BWP","BWP","","00000000",""
"811","BYR","BYR","","00000000",""
"811","BZD","BZD","","00000000",""
"811","CAD","CAD","","00000000",""
"811","CHF","CHF","051","00000000",""
"811","CLP","CLP","","00000000",""
"811","CNY","CNY","","00000000",""
"811","COP","COP","","00000000",""
"811","CRC","CRC","","00000000",""
"811","CUP","CUP","","00000000",""
"811","CVE","CVE","","00000000",""
"811","CYL","CYL","","00000000",""
"811","CZK","CZK","","00000000",""
"811","DEM","DEM","061","00000000",""
"811","DJF","DJF","","00000000",""
"811","DKK","DKK","","00000000",""
"811","DOP","DOP","","00000000",""
"811","DZD","DZD","","00000000",""
"811","ECS","ECS","","00000000",""
"811","ECU","ECU","","00000000",""
"811","EEK","EEK","","00000000",""
"811","EGP","EGP","","00000000",""
"811","ERB","ERB","","00000000",""
"811","ESP","ESP","141","00000000",""
"811","ETB","ETB","","00000000",""
"811","EUR","EUR","","00000000",""
"811","FIM","FIM","","00000000",""
"811","FJD","FJD","","00000000",""
"811","FRF","FRF","021","00000000",""
"811","GBL","GBL","","00000000",""
"811","GBP","GBP","031","00000000",""
"811","GEK","GEK","","00000000",""
"811","GHC","GHC","","00000000",""
"811","GMD","GMD","","00000000",""
"811","GNF","GNF","","00000000",""
"811","GRD","GRD","","00000000",""
"811","GTQ","GTQ","","00000000",""
"811","GWP","GWP","","00000000",""
"811","GYD","GYD","","00000000",""
"811","HKD","HKD","","00000000",""
"811","HNL","HNL","","00000000",""
"811","HRD","HRD","","00000000",""
"811","HTG","HTG","","00000000",""
"811","HUF","HUF","","00000000",""
"811","IDR","IDR","","00000000",""
"811","IEP","IEP","","00000000",""
"811","ILS","ILS","","00000000",""
"811","INR","INR","","00000000",""
"811","IQD","IQD","","00000000",""
"811","IRR","IRR","","00000000",""
"811","ISK","ISK","","00000000",""
"811","ITL","ITL","071","00000000",""
"811","JMD","JMD","","00000000",""
"811","JOD","JOD","","00000000",""
"811","JPY","JPY","831","00000000",""
"811","KES","KES","","00000000",""
"811","KHR","KHR","","00000000",""
